time[s], pop_latency[ms] 
0.2,27.00
0.4,29.90
0.6,29.81
0.8,29.65
1.0,29.76
1.2,30.00
1.4,30.15
1.6,30.25
1.8,30.33
2.0,30.15
2.2,30.40
2.4,30.40
2.6,30.29
2.8,30.40
3.0,30.24
3.2,30.20
3.4,30.20
3.6,30.10
3.8,30.40
4.0,30.45
4.2,30.90
4.4,30.57
4.6,30.62
4.8,30.70
5.0,30.52
5.2,30.81
5.4,30.52
5.6,30.55
5.8,30.38
6.0,30.25
6.2,30.38
6.4,29.90
6.6,30.00
6.8,30.05
7.0,30.30
7.2,30.40
7.4,30.40
7.6,30.40
7.8,30.70
8.0,30.65
8.2,29.90
8.4,29.90
8.6,29.76
8.8,29.67
9.0,29.70
9.2,29.90
9.4,29.95
9.6,30.05
9.8,29.95
10.0,29.81
10.2,30.80
10.4,30.80
10.6,30.81
10.8,31.14
11.0,31.00
11.2,31.10
11.4,30.65
11.6,30.19
11.8,30.20
12.0,30.20
12.2,32.52
12.4,31.71
12.6,30.81
12.8,30.10
13.0,29.48
13.2,29.76
13.4,28.76
13.6,28.60
13.8,27.48
14.0,27.43
14.2,25.43
14.4,26.10
14.6,26.75
14.8,26.70
15.0,27.35
15.2,27.57
15.4,26.38
15.6,26.38
15.8,26.52
16.0,26.95
16.2,27.14
16.4,26.29
16.6,25.40
16.8,25.40
17.0,25.14
17.2,25.05
17.4,25.35
17.6,26.00
17.8,25.90
18.0,25.81
18.2,25.65
18.4,26.00
18.6,25.90
18.8,25.52
19.0,25.52
19.2,25.24
19.4,24.70
19.6,24.71
19.8,24.75
20.0,24.75
20.2,24.90
20.4,23.71
20.6,23.81
20.8,23.90
21.0,23.55
21.2,24.55
21.4,24.60
21.6,24.29
21.8,23.95
22.0,24.00
22.2,25.15
22.4,25.40
22.6,25.10
22.8,25.10
23.0,25.45
23.2,25.70
23.4,25.75
23.6,25.70
23.8,25.14
24.0,25.48
24.2,25.76
24.4,25.24
24.6,24.95
24.8,25.14
25.0,24.90
25.2,25.62
25.4,24.38
25.6,24.33
25.8,25.10
26.0,24.71
26.2,24.20
26.4,23.52
26.6,23.95
26.8,24.00
27.0,24.10
27.2,25.67
27.4,24.86
27.6,24.65
27.8,24.05
28.0,24.30
28.2,24.40
28.4,24.20
28.6,24.10
28.8,23.24
29.0,23.05
29.2,22.81
29.4,21.52
29.6,22.15
29.8,22.05
30.0,22.48
30.2,22.20
30.4,22.65
30.6,22.57
30.8,22.70
31.0,22.70
31.2,23.15
31.4,22.62
31.6,22.57
31.8,22.30
32.0,22.25
32.2,22.25
32.4,21.62
32.6,21.24
32.8,21.35
33.0,21.35
33.2,21.76
33.4,22.95
33.6,23.35
33.8,23.65
34.0,24.81
34.2,24.65
34.4,24.71
34.6,25.00
34.8,25.00
35.0,24.71
35.2,24.14
35.4,24.67
35.6,23.05
35.8,22.50
36.0,21.00
36.2,21.00
36.4,21.52
36.6,21.60
36.8,21.60
37.0,21.65
37.2,21.65
37.4,20.95
37.6,20.90
37.8,20.95
38.0,21.05
38.2,21.16
38.4,20.25
38.6,20.25
38.8,20.15
39.0,21.95
39.2,21.75
39.4,22.45
39.6,22.45
39.8,22.45
40.0,22.25
40.2,22.25
40.4,21.95
40.6,22.15
40.8,22.10
41.0,22.43
41.2,20.90
41.4,20.90
41.6,20.81
41.8,20.76
42.0,20.67
42.2,23.75
42.4,25.25
42.6,26.55
42.8,27.25
43.0,27.85
43.2,28.95
43.4,29.15
43.6,30.15
43.8,31.35
44.0,32.20
44.2,32.33
44.4,29.75
44.6,29.30
44.8,29.30
45.0,29.19
45.2,29.00
45.4,28.71
45.6,28.80
45.8,28.76
46.0,28.62
46.2,28.75
46.4,28.67
46.6,28.55
46.8,28.55
47.0,28.55
47.2,28.70
47.4,29.00
47.6,29.10
47.8,29.05
48.0,29.35
48.2,29.57
48.4,29.29
48.6,29.50
48.8,29.75
49.0,30.05
49.2,29.76
49.4,29.95
49.6,30.00
49.8,29.57
50.0,29.62
50.2,29.25
50.4,29.65
50.6,29.65
50.8,29.48
51.0,29.10
51.2,29.40
51.4,29.40
51.6,29.48
51.8,29.40
52.0,29.15
52.2,29.15
52.4,29.05
52.6,29.19
52.8,29.40
53.0,29.60
53.2,29.60
53.4,29.62
53.6,29.70
53.8,29.57
54.0,30.00
54.2,30.10
54.4,30.05
54.6,29.71
54.8,29.95
55.0,29.65
55.2,29.65
55.4,29.85
55.6,29.85
55.8,30.10
56.0,30.05
56.2,29.85
56.4,30.15
56.6,30.15
56.8,30.45
57.0,30.45
57.2,33.95
57.4,35.05
57.6,35.65
57.8,36.10
58.0,36.70
58.2,37.05
58.4,37.85
58.6,38.35
58.8,38.65
59.0,39.20
59.2,35.90
59.4,35.60
59.6,35.57
59.8,35.95
60.0,36.24
60.2,36.50
60.4,36.55
60.6,36.95
60.8,36.90
61.0,37.40
61.2,37.19
61.4,37.43
61.6,37.33
61.8,37.29
62.0,36.70
62.2,37.10
62.4,36.81
62.6,36.20
62.8,36.43
63.0,36.43
63.2,36.75
63.4,36.38
63.6,36.15
63.8,35.90
64.0,35.95
64.2,35.40
64.4,35.75
64.6,35.75
64.8,35.70
65.0,36.00
65.2,35.80
65.4,35.80
65.6,35.80
65.8,36.05
66.0,36.35
66.2,36.43
66.4,36.19
66.6,36.52
66.8,36.57
67.0,36.05
67.2,36.19
67.4,35.86
67.6,36.60
67.8,36.90
68.0,36.81
68.2,36.81
68.4,36.75
68.6,36.75
68.8,37.35
69.0,37.24
69.2,37.52
69.4,37.24
69.6,37.24
69.8,37.05
70.0,37.24
70.2,37.40
70.4,38.05
70.6,37.90
70.8,37.57
71.0,37.70
71.2,37.65
71.4,38.30
71.6,38.30
71.8,38.10
72.0,37.90
72.2,39.67
72.4,38.48
72.6,37.38
72.8,36.57
73.0,35.43
73.2,35.19
73.4,34.00
73.6,32.90
73.8,32.19
74.0,31.33
74.2,28.75
74.4,28.57
74.6,28.67
74.8,28.76
75.0,28.57
75.2,28.65
75.4,28.60
75.6,28.67
75.8,28.85
76.0,28.95
76.2,29.40
76.4,29.65
76.6,29.95
76.8,29.48
77.0,30.05
77.2,30.38
77.4,30.15
77.6,30.57
77.8,30.76
78.0,30.90
78.2,31.19
78.4,30.52
78.6,30.38
78.8,30.50
79.0,30.62
79.2,30.65
79.4,30.70
79.6,30.25
79.8,30.55
80.0,30.29
80.2,30.25
80.4,30.40
80.6,30.40
80.8,30.30
81.0,29.80
81.2,29.81
81.4,29.43
81.6,29.52
81.8,28.90
82.0,28.85
82.2,29.24
82.4,28.45
82.6,28.45
82.8,28.29
83.0,28.19
83.2,28.40
83.4,28.40
83.6,28.19
83.8,28.05
84.0,28.14
84.2,28.10
84.4,28.19
84.6,28.05
84.8,28.35
85.0,28.33
85.2,28.57
85.4,28.24
85.6,28.60
85.8,28.57
86.0,28.62
86.2,28.81
86.4,28.48
86.6,29.25
86.8,29.55
87.0,29.48
87.2,33.57
87.4,33.57
87.6,33.57
87.8,33.85
88.0,34.00
88.2,34.24
88.4,33.71
88.6,33.24
88.8,33.05
89.0,33.15
89.2,30.29
89.4,29.20
89.6,29.60
89.8,29.60
90.0,29.24
90.2,29.40
90.4,29.70
90.6,29.71
90.8,29.52
91.0,29.65
91.2,29.45
91.4,29.33
91.6,29.29
91.8,29.40
92.0,29.71
92.2,30.48
92.4,30.38
92.6,30.43
92.8,30.25
93.0,30.30
93.2,29.95
93.4,30.00
93.6,29.55
93.8,29.55
94.0,29.05
94.2,28.50
94.4,28.45
94.6,28.45
94.8,29.00
95.0,28.95
95.2,29.45
95.4,30.05
95.6,30.00
95.8,29.86
96.0,30.20
96.2,30.50
96.4,30.48
96.6,30.20
96.8,30.20
97.0,29.75
97.2,29.80
97.4,29.35
97.6,29.42
97.8,29.68
98.0,29.75
98.2,29.05
98.4,29.26
98.6,29.35
98.8,29.47
99.0,29.47
99.2,29.55
99.4,29.48
99.6,29.55
99.8,29.35
100.0,29.38
100.2,29.30
100.4,29.45
100.6,29.30
100.8,29.20
101.0,29.25
101.2,29.38
101.4,29.52
101.6,30.10
101.8,29.95
102.0,30.40
102.2,30.19
102.4,30.71
102.6,30.90
102.8,31.25
103.0,31.85
103.2,32.10
103.4,31.85
103.6,31.43
103.8,31.40
104.0,31.00
104.2,30.48
104.4,30.90
104.6,30.95
104.8,31.50
105.0,31.15
105.2,30.62
105.4,29.90
105.6,30.35
105.8,29.57
106.0,29.70
106.2,30.10
106.4,29.52
106.6,28.75
106.8,28.62
107.0,27.62
107.2,27.35
107.4,28.00
107.6,28.10
107.8,28.35
108.0,28.70
108.2,27.67
108.4,27.05
108.6,27.33
108.8,26.67
109.0,26.40
109.2,26.38
109.4,25.05
109.6,25.10
109.8,24.10
110.0,23.90
110.2,25.40
110.4,25.14
110.6,25.75
110.8,25.86
111.0,26.05
111.2,26.67
111.4,26.85
111.6,26.48
111.8,26.80
112.0,26.75
112.2,26.43
112.4,25.57
112.6,25.52
112.8,24.90
113.0,25.24
113.2,25.00
113.4,24.76
113.6,24.65
113.8,25.05
114.0,25.05
114.2,25.40
114.4,25.45
114.6,25.19
114.8,25.50
115.0,24.62
115.2,25.38
115.4,25.00
115.6,25.33
115.8,25.30
116.0,25.05
116.2,24.45
116.4,23.90
116.6,24.05
116.8,23.70
117.0,23.52
117.2,24.43
117.4,24.15
117.6,24.55
117.8,24.80
118.0,25.43
118.2,26.30
118.4,27.05
118.6,27.35
118.8,28.10
119.0,29.15
119.2,29.38
119.4,29.33
119.6,29.15
119.8,29.14
120.0,28.76
